question_id,question,k,nugget,best_rouge1_f1,best_rougel_f1,best_rouge_combined,best_bm25_normalized,best_rouge1_rank,best_rougel_rank,best_bm25_rank
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,potassium was not stable in at least one pre-centrifugation storage condition,0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,"serum gel tubes were stored at 15, 25, or 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,"storage durations included 4, 8, and 24 hours before centrifugation",0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,delayed centrifugation can affect potassium validity,0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,potassium was not stable in at least one pre-centrifugation storage condition,0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,"serum gel tubes were stored at 15, 25, or 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,"storage durations included 4, 8, and 24 hours before centrifugation",0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,delayed centrifugation can affect potassium validity,0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,potassium was not stable in at least one pre-centrifugation storage condition,0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,"serum gel tubes were stored at 15, 25, or 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,"storage durations included 4, 8, and 24 hours before centrifugation",0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,delayed centrifugation can affect potassium validity,0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,potassium was not stable in at least one pre-centrifugation storage condition,0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,"serum gel tubes were stored at 15, 25, or 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,"storage durations included 4, 8, and 24 hours before centrifugation",0.0,0.0,0.0,0.0,,,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,delayed centrifugation can affect potassium validity,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,glucose was not stable in at least one delayed centrifugation condition,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,"serum gel tubes were exposed to 15, 25, or 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,delays before centrifugation included up to 24 hours,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,glucose validity may be affected by pre-centrifugation delay,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,glucose was not stable in at least one delayed centrifugation condition,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,"serum gel tubes were exposed to 15, 25, or 35 degrees Celsius",0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,delays before centrifugation included up to 24 hours,0.0,0.0,0.0,0.0,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,glucose validity may be affected by pre-centrifugation delay,0.0,0.0,0.0,0.0,,,
