question_id,question,status,ranking_method,retrieved_papers,extracted_snippets,ranked_evidence_records,top_score,top_title,error_type,error_message
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,ok,medcpt-hybrid,1,9,9,0.846,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,,
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ009,Is whole blood gene expression largely stable during short-term processing delays up to 15 hours?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ010,Should flow or mass cytometry studies avoid processing delays greater than 5 hours for susceptible PBMC populations?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ011,Do processing delays up to 72 hours at room temperature or 4 degrees Celsius significantly affect plasma cytokines?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ012,Are plasma chemokines stable after delayed processing up to 72 hours at room temperature or 4 degrees Celsius?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ013,Is plasma cell-free DNA affected by sample processing delays up to 72 hours at room temperature or 4 degrees Celsius?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,ok,medcpt-hybrid,1,11,10,0.988,"Impact of sample processing delays on plasma markers of inflammation, chemotaxis, cell death, and blood coagulation.",,
BQ015,Does long-term storage at minus 20 degrees Celsius versus minus 80 degrees Celsius affect serum metabolomic and proteomic biomarkers?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ016,Can serum glutamate/glutamine ratio indicate sub-optimal long-term storage at minus 20 degrees Celsius?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ017,Is glutamine susceptible to long-term serum storage at minus 20 degrees Celsius compared with minus 80 degrees Celsius?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ018,Do plasma and serum metabolomic profiles depend on pre-analytical factors such as processing delay and freeze-thaw cycles?,no_evidence_found,medcpt-hybrid,0,0,0,,,,
BQ019,Can multiple freeze-thaw cycles alter urine metabolomic findings?,ok,medcpt-hybrid,1,7,7,0.9725,"Pre-Analytical Factors that Affect Metabolite Stability in Human Urine, Plasma, and Serum: A Review.",,
BQ020,"Does one freeze-thaw cycle after storage at minus 70 degrees Celsius meaningfully affect common nutritional, NCD, and inflammatory biomarkers in serum?",no_evidence_found,medcpt-hybrid,0,0,0,,,,
