question_id,question,ranking_method,rank,score,title,evidence_text,year,journal,doi,source,ext_id,url,score_components_json
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,medcpt-hybrid,1,0.846,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"The aim of the study was to determine the stability of analytes in serum gel tubes and plain tubes exposed to a range of storage temperatures and times after centrifugation.<h4>Materials and methods</h4>Fifteen healthy volunteers were recruited and venous blood was collected into four tubes, two with and two without gel separator. Analyzing the baseline samples in 30 min, all were stored at 4 degrees C or 24 degrees C for 6, 12, 18, 24, 30, 36, 48 and 72 hours and 1 week.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.846, ""medcpt_raw"": 14.971, ""medcpt_norm"": 0.8169, ""lexical_raw"": 19.4, ""lexical_norm"": 1.0, ""slot_score"": 0.7667, ""slot_details"": {""slot_score"": 0.7667, ""analyte_terms"": [""albumin"", ""gel"", ""tubes""], ""question_sample_terms"": [""serum""], ""question_condition_terms"": [""centrifugation"", ""hour"", ""hours"", ""stored""], ""result_terms_found"": [""stability""], ""analyte_match"": 0.6667, ""sample_match"": 1.0, ""condition_match"": 1.0, ""result_signal"": 0.3333}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,medcpt-hybrid,2,0.8057,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Variations remained under the desirable bias considered as clinically insignificant.<h4>Results</h4>On day three, most analytes remained stable including albumin, protein, creatinine, cholesterol, triglycerides, gamma-glutamyl transferase (GGT), alkaline phosphatase (ALP), alanine aminotransferase (ALT), creatine kinase (CK), lactate dehydrogenase (LD) regardless of tube types. Glucose concentration decreased markedly (P = 0.001) beginning from the first hours of storage in plain serum.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.8057, ""medcpt_raw"": 15.1311, ""medcpt_norm"": 0.9029, ""lexical_raw"": 13.95, ""lexical_norm"": 0.4381, ""slot_score"": 0.875, ""slot_details"": {""slot_score"": 0.875, ""analyte_terms"": [""albumin"", ""gel"", ""tubes""], ""question_sample_terms"": [""serum""], ""question_condition_terms"": [""centrifugation"", ""hour"", ""hours"", ""stored""], ""result_terms_found"": [""concentration"", ""decrease"", ""decreased"", ""significant"", ""stability"", ""stable""], ""analyte_match"": 1.0, ""sample_match"": 1.0, ""condition_match"": 0.5, ""result_signal"": 1.0}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,medcpt-hybrid,3,0.7979,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Analyzing the baseline samples in 30 min, all were stored at 4 degrees C or 24 degrees C for 6, 12, 18, 24, 30, 36, 48 and 72 hours and 1 week. Sixteen biochemical anaytes were measured on each sample.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.7979, ""medcpt_raw"": 15.3119, ""medcpt_norm"": 1.0, ""lexical_raw"": 11.75, ""lexical_norm"": 0.2113, ""slot_score"": 0.7042, ""slot_details"": {""slot_score"": 0.7042, ""analyte_terms"": [""albumin"", ""gel"", ""tubes""], ""question_sample_terms"": [""serum""], ""question_condition_terms"": [""centrifugation"", ""hour"", ""hours"", ""stored""], ""result_terms_found"": [""stability""], ""analyte_match"": 0.6667, ""sample_match"": 1.0, ""condition_match"": 0.75, ""result_signal"": 0.3333}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,medcpt-hybrid,4,0.6928,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Sixteen biochemical anaytes were measured on each sample. Variations remained under the desirable bias considered as clinically insignificant.<h4>Results</h4>On day three, most analytes remained stable including albumin, protein, creatinine, cholesterol, triglycerides, gamma-glutamyl transferase (GGT), alkaline phosphatase (ALP), alanine aminotransferase (ALT), creatine kinase (CK), lactate dehydrogenase (LD) regardless of tube types.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.6928, ""medcpt_raw"": 15.1123, ""medcpt_norm"": 0.8928, ""lexical_raw"": 9.7, ""lexical_norm"": 0.0, ""slot_score"": 0.75, ""slot_details"": {""slot_score"": 0.75, ""analyte_terms"": [""albumin"", ""gel"", ""tubes""], ""question_sample_terms"": [""serum""], ""question_condition_terms"": [""centrifugation"", ""hour"", ""hours"", ""stored""], ""result_terms_found"": [""significant"", ""stability"", ""stable""], ""analyte_match"": 1.0, ""sample_match"": 1.0, ""condition_match"": 0.0, ""result_signal"": 1.0}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,medcpt-hybrid,5,0.593,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"<h4>Introduction</h4>The collected and shipped blood samples are exposed to a various extra-analytical factors prior to analysis. The aim of the study was to determine the stability of analytes in serum gel tubes and plain tubes exposed to a range of storage temperatures and times after centrifugation.<h4>Materials and methods</h4>Fifteen healthy volunteers were recruited and venous blood was collected into four tubes, two with and two without gel separator.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.593, ""medcpt_raw"": 14.578, ""medcpt_norm"": 0.6058, ""lexical_raw"": 15.15, ""lexical_norm"": 0.5619, ""slot_score"": 0.5792, ""slot_details"": {""slot_score"": 0.5792, ""analyte_terms"": [""albumin"", ""gel"", ""tubes""], ""question_sample_terms"": [""serum""], ""question_condition_terms"": [""centrifugation"", ""hour"", ""hours"", ""stored""], ""result_terms_found"": [""stability""], ""analyte_match"": 0.6667, ""sample_match"": 1.0, ""condition_match"": 0.25, ""result_signal"": 0.3333}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,medcpt-hybrid,6,0.4149,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Glucose concentration decreased markedly (P = 0.001) beginning from the first hours of storage in plain serum. The stability maximized for the analytes including glucose, total bilirubin, urea nitrogen (BUN), uric acid stored at 4 degrees C in gel tubes.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.4149, ""medcpt_raw"": 13.8058, ""medcpt_norm"": 0.191, ""lexical_raw"": 17.95, ""lexical_norm"": 0.8505, ""slot_score"": 0.8042, ""slot_details"": {""slot_score"": 0.8042, ""analyte_terms"": [""albumin"", ""gel"", ""tubes""], ""question_sample_terms"": [""serum""], ""question_condition_terms"": [""centrifugation"", ""hour"", ""hours"", ""stored""], ""result_terms_found"": [""concentration"", ""decrease"", ""decreased"", ""stability""], ""analyte_match"": 0.6667, ""sample_match"": 1.0, ""condition_match"": 0.75, ""result_signal"": 1.0}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,medcpt-hybrid,7,0.2619,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"The stability maximized for the analytes including glucose, total bilirubin, urea nitrogen (BUN), uric acid stored at 4 degrees C in gel tubes. Aspartate aminotransferase (AST) activity increased significantly (P = 0.002) up to 48-h, however bias was not significant clinically.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.2619, ""medcpt_raw"": 13.6871, ""medcpt_norm"": 0.1273, ""lexical_raw"": 13.45, ""lexical_norm"": 0.3866, ""slot_score"": 0.6792, ""slot_details"": {""slot_score"": 0.6792, ""analyte_terms"": [""albumin"", ""gel"", ""tubes""], ""question_sample_terms"": [""serum""], ""question_condition_terms"": [""centrifugation"", ""hour"", ""hours"", ""stored""], ""result_terms_found"": [""increase"", ""increased"", ""not significant"", ""significant"", ""stability""], ""analyte_match"": 0.6667, ""sample_match"": 1.0, ""condition_match"": 0.25, ""result_signal"": 1.0}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,medcpt-hybrid,8,0.2327,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"Aspartate aminotransferase (AST) activity increased significantly (P = 0.002) up to 48-h, however bias was not significant clinically. High density lipoprotein (HDL) concentration was stable in gel tubes at 24 degrees C, in plain tubes at 4 degrees C stored up to 36-h.<h4>Conclusion</h4>Serum gel or non-gel tubes might be used interchangeably for 11 analytes chilled or at 24 degrees C, whereas some restrictions must be applied for glucose, AST, BUN, HDL, and uric acid.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.2327, ""medcpt_raw"": 13.4704, ""medcpt_norm"": 0.0109, ""lexical_raw"": 15.7, ""lexical_norm"": 0.6186, ""slot_score"": 0.6792, ""slot_details"": {""slot_score"": 0.6792, ""analyte_terms"": [""albumin"", ""gel"", ""tubes""], ""question_sample_terms"": [""serum""], ""question_condition_terms"": [""centrifugation"", ""hour"", ""hours"", ""stored""], ""result_terms_found"": [""change"", ""concentration"", ""increase"", ""increased"", ""not significant"", ""significant"", ""stability"", ""stable""], ""analyte_match"": 0.6667, ""sample_match"": 1.0, ""condition_match"": 0.25, ""result_signal"": 1.0}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,medcpt-hybrid,9,0.2256,Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions.,"High density lipoprotein (HDL) concentration was stable in gel tubes at 24 degrees C, in plain tubes at 4 degrees C stored up to 36-h.<h4>Conclusion</h4>Serum gel or non-gel tubes might be used interchangeably for 11 analytes chilled or at 24 degrees C, whereas some restrictions must be applied for glucose, AST, BUN, HDL, and uric acid.",2012,,10.11613/bm.2012.023,MED,22838186,https://pmc.ncbi.nlm.nih.gov/articles/PMC4062343/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.2256, ""medcpt_raw"": 13.4501, ""medcpt_norm"": 0.0, ""lexical_raw"": 15.7, ""lexical_norm"": 0.6186, ""slot_score"": 0.6792, ""slot_details"": {""slot_score"": 0.6792, ""analyte_terms"": [""albumin"", ""gel"", ""tubes""], ""question_sample_terms"": [""serum""], ""question_condition_terms"": [""centrifugation"", ""hour"", ""hours"", ""stored""], ""result_terms_found"": [""change"", ""concentration"", ""stability"", ""stable""], ""analyte_match"": 0.6667, ""sample_match"": 1.0, ""condition_match"": 0.25, ""result_signal"": 1.0}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
BQ014,Does delayed processing up to 72 hours affect plasma blood clotting potential measured by thrombin generation?,medcpt-hybrid,1,0.988,"Impact of sample processing delays on plasma markers of inflammation, chemotaxis, cell death, and blood coagulation.","After pre-processing delays of up to 72 hours at RT or 4°C, no significant changes were observed in plasma cytokines, chemokines, cfDNA, or thrombin formation.<h4>Conclusions</h4>Delayed sample processing for up to 72 hours at either RT or 4°C did not significantly affect cytokines, chemokines, cfDNA, or blood clotting potential in plasma samples from healthy volunteers and ICU patients. A ""simplified"" biosampling protocol is a feasible solution for conducting biosampling research at hospitals without local processing capacity.",2024,,10.1371/journal.pone.0311921,MED,39480839,https://pmc.ncbi.nlm.nih.gov/articles/PMC11527306/,"{""ranker"": ""medcpt-hybrid"", ""final_score"": 0.988, ""medcpt_raw"": 15.8034, ""medcpt_norm"": 1.0, ""lexical_raw"": 26.1, ""lexical_norm"": 1.0, ""slot_score"": 0.92, ""slot_details"": {""slot_score"": 0.92, ""analyte_terms"": [""processing"", ""clotting"", ""potential"", ""thrombin"", ""generation""], ""question_sample_terms"": [""blood"", ""plasma""], ""question_condition_terms"": [""delay"", ""delayed"", ""hour"", ""hours""], ""result_terms_found"": [""change"", ""not significant"", ""significant""], ""analyte_match"": 0.8, ""sample_match"": 1.0, ""condition_match"": 1.0, ""result_signal"": 1.0}, ""weights"": {""medcpt"": 0.65, ""lexical"": 0.2, ""slots"": 0.15}}"
