question_id,question,k,embedding_model,nugget,best_similarity,best_rank
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,sentence-transformers/all-MiniLM-L6-v2,potassium was not stable in at least one pre-centrifugation storage condition,0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,sentence-transformers/all-MiniLM-L6-v2,"serum gel tubes were stored at 15, 25, or 35 degrees Celsius",0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,sentence-transformers/all-MiniLM-L6-v2,"storage durations included 4, 8, and 24 hours before centrifugation",0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,sentence-transformers/all-MiniLM-L6-v2,delayed centrifugation can affect potassium validity,0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,sentence-transformers/all-MiniLM-L6-v2,potassium was not stable in at least one pre-centrifugation storage condition,0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,sentence-transformers/all-MiniLM-L6-v2,"serum gel tubes were stored at 15, 25, or 35 degrees Celsius",0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,sentence-transformers/all-MiniLM-L6-v2,"storage durations included 4, 8, and 24 hours before centrifugation",0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,sentence-transformers/all-MiniLM-L6-v2,delayed centrifugation can affect potassium validity,0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,sentence-transformers/all-MiniLM-L6-v2,potassium was not stable in at least one pre-centrifugation storage condition,0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,sentence-transformers/all-MiniLM-L6-v2,"serum gel tubes were stored at 15, 25, or 35 degrees Celsius",0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,sentence-transformers/all-MiniLM-L6-v2,"storage durations included 4, 8, and 24 hours before centrifugation",0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,sentence-transformers/all-MiniLM-L6-v2,delayed centrifugation can affect potassium validity,0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,sentence-transformers/all-MiniLM-L6-v2,potassium was not stable in at least one pre-centrifugation storage condition,0.0,
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,sentence-transformers/all-MiniLM-L6-v2,"serum gel tubes were stored at 15, 25, or 35 degrees Celsius",0.0,
