run_label,run_dir,k,metric_name,metric_value,question_count,embedding_model
lexical,outputs\evaluation\provideq20_lexical,1,ROUGE1_Nugget@k,0.016,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,1,ROUGEL_Nugget@k,0.014,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,1,ROUGE_Nugget@k,0.015,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,1,BM25_Nugget@k,0.0249,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,1,SemanticNuggetMatch@k,0.0556,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,1,SemanticAnswerMatch@k,0.106,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,3,ROUGE1_Nugget@k,0.0179,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,3,ROUGEL_Nugget@k,0.0152,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,3,ROUGE_Nugget@k,0.0166,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,3,BM25_Nugget@k,0.03,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,3,SemanticNuggetMatch@k,0.0606,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,3,SemanticAnswerMatch@k,0.1106,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,5,ROUGE1_Nugget@k,0.0216,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,5,ROUGEL_Nugget@k,0.0191,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,5,ROUGE_Nugget@k,0.0204,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,5,BM25_Nugget@k,0.0402,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,5,SemanticNuggetMatch@k,0.0618,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,5,SemanticAnswerMatch@k,0.1106,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,10,ROUGE1_Nugget@k,0.0232,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,10,ROUGEL_Nugget@k,0.0205,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,10,ROUGE_Nugget@k,0.0218,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,10,BM25_Nugget@k,0.046,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,10,SemanticNuggetMatch@k,0.0691,20,sentence-transformers/all-MiniLM-L6-v2
lexical,outputs\evaluation\provideq20_lexical,10,SemanticAnswerMatch@k,0.1106,20,sentence-transformers/all-MiniLM-L6-v2
