question_id,category,question,status,error,query_strategy,llm_model,llm_provider,llm_base_url,paperclip_ranking,paperclip_source,paperclip_full_corpus,retrieval_limit,query_sent,expansion_terms,retrieved_count,retrieved_documents,retrieved_document_ids,gold_documents,gold_document_ids,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,hit_at_10,reciprocal_rank,matched_document,match_type,matched_identifier,paperclip_result_id
Q001,Storage temperature and duration,Which group of metabolites stayed stable for at least 24 hours when uncentrifuged serum and plasma were kept either on cool packs or at room temperature?,success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,"Which group of metabolites stayed stable for at least 24 hours when uncentrifuged serum and plasma were kept either on cool packs or at room temperature? This study evaluates the stability of specific metabolite groups in uncentrifuged serum and plasma samples stored on cool packs or at room temperature for at least 24 hours. The investigation measures metabolite concentration changes to identify which analytes remain stable under these distinct storage conditions, comparing the effects of cooling versus ambient temperature on sample integrity over the specified duration.",,10,1: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 2: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 3: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 4: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 5: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 6: Stability of Metabolomic Content during Sample Preparation: Blood and Brain Tissues | 7: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome | 8: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 9: Stability of targeted metabolite profiles of urine samples under different storage conditions | 10: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability,1: PMC5875996; doi:10.3390/metabo8010006 | 2: PMC10215277; doi:10.3390/antiox12050986 | 3: PMC3933650; doi:10.1371/journal.pone.0089728 | 4: PMC13106266; doi:10.1007/s11306-026-02428-2 | 5: PMC6572224; doi:10.3390/metabo9050099 | 6: PMC9505456; doi:10.3390/metabo12090811 | 7: PMC6316012; doi:10.3390/metabo8040088 | 8: PMC4379062; doi:10.1371/journal.pone.0121495 | 9: PMC5126183; doi:10.1007/s11306-016-1137-z | 10: PMC9693613; doi:10.3390/metabo12111098,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid:PMC3933650,3,0,1,1,1,0.333333,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid,PMC3933650,s_17bb32e2
Q002,Freeze-thaw and frozen storage,How stable are serum metabolites after two freeze-thaw cycles?,success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How stable are serum metabolites after two freeze-thaw cycles? This study evaluates the stability of serum metabolites following two freeze-thaw cycles. Metabolite concentrations are measured in serum samples subjected to controlled freezing and thawing protocols. The analysis compares metabolite levels before and after the cycles to assess potential degradation or alteration.,,10,"1: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 2: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 3: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 4: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 5: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 6: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 7: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 8: Pre-Analytical Factors that Affect Metabolite Stability in Human Urine, Plasma, and Serum: A Review | 9: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 10: Stability of amino acids and related amines in human serum under different preprocessing and pre-storage conditions based on iTRAQ ® -LC-MS/MS",1: PMC9693613; doi:10.3390/metabo12111098 | 2: PMC3933650; doi:10.1371/journal.pone.0089728 | 3: PMC10215277; doi:10.3390/antiox12050986 | 4: PMC5875996; doi:10.3390/metabo8010006 | 5: PMC6572224; doi:10.3390/metabo9050099 | 6: PMC4379062; doi:10.1371/journal.pone.0121495 | 7: PMC13106266; doi:10.1007/s11306-026-02428-2 | 8: PMC6724180; doi:10.3390/metabo9080156 | 9: PMC5187835; doi:10.3390/ijms17122035 | 10: PMC7928226; doi:10.1242/bio.055020,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid:PMC3933650,2,0,1,1,1,0.5,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid,PMC3933650,s_49daa33d
Q003,Pre-centrifugation delay and transport,How much does prolonged room-temperature handling before storage alter the serum metabolome?,success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How much does prolonged room-temperature handling before storage alter the serum metabolome? This study evaluates the impact of prolonged room-temperature handling before storage on the serum metabolome. We analyze serum samples subjected to varying durations of ambient exposure prior to cryopreservation. The investigation quantifies metabolic alterations to determine the extent of change induced by delayed processing conditions.,,10,1: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 2: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 3: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 4: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome | 5: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 6: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 7: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 8: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 9: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 10: Influence of Storage Conditions and Preservatives on Metabolite Fingerprints in Urine,1: PMC5875996; doi:10.3390/metabo8010006 | 2: PMC10215277; doi:10.3390/antiox12050986 | 3: PMC6572224; doi:10.3390/metabo9050099 | 4: PMC6316012; doi:10.3390/metabo8040088 | 5: PMC4379062; doi:10.1371/journal.pone.0121495 | 6: PMC5187835; doi:10.3390/ijms17122035 | 7: PMC9693613; doi:10.3390/metabo12111098 | 8: PMC13106266; doi:10.1007/s11306-026-02428-2 | 9: PMC3933650; doi:10.1371/journal.pone.0089728 | 10: PMC6836253; doi:10.3390/metabo9100203,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid:PMC4379062,5,0,0,1,1,0.2,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid,PMC4379062,s_dc854685
Q004,Biospecimen quality control and SOPs,Should serum samples be kept at room temperature before they are stored in a biobank?,success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,Should serum samples be kept at room temperature before they are stored in a biobank? This study evaluates the stability of serum samples stored at room temperature prior to biobank archiving. We assess the impact of ambient temperature exposure on analyte integrity and sample quality metrics. The investigation compares pre-storage conditions to determine optimal handling protocols for long-term serum preservation in biobanking contexts.,,10,1: Quality assessment from biobank plasma and serum specimens: a systematic review | 2: Sample Management: Stability of Plasma and Serum on Different Storage Conditions | 3: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 4: Assessment of the stability of 20 biochemical analytes in serum and whole blood samples after storage at nonstandard temperatures | 5: Pre-analytical stability of the plasma proteomes based on the storage temperature | 6: The effect of storage time and freeze-thaw cycles on the stability of serum samples | 7: The Influence of Serum Sample Storage Conditions on Selected Laboratory Parameters Related to Oxidative Stress: A Preliminary Study | 8: The holding temperature of blood during a delay to processing can affect serum and plasma protein measurements | 9: Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions | 10: Time collection and storage conditions of lipid profile,1: PMC12514999; doi:10.7717/peerj.20122 | 2: PMC7109503 | 3: PMC4379062; doi:10.1371/journal.pone.0121495 | 4: PMC12769415; doi:10.1016/j.plabm.2025.e00514 | 5: PMC3658880; doi:10.1186/1477-5956-11-10 | 6: PMC3900085; doi:10.11613/BM.2013.009 | 7: PMC7168228; doi:10.3390/diagnostics10010051 | 8: PMC7985364; doi:10.1038/s41598-021-85052-5 | 9: PMC4062343 | 10: PMC5769759; doi:10.1590/1414-431X20176955,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid:PMC4379062,3,0,1,1,1,0.333333,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid,PMC4379062,s_4ecbea80
Q005,Storage temperature and duration,"How stable are serum lipid metabolites after one week at 4°C, −20°C, or −80°C?",success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,"How stable are serum lipid metabolites after one week at 4°C, −20°C, or −80°C? This study evaluates the stability of serum lipid metabolites following storage at 4°C, −20°C, or −80°C for one week. We measured metabolite concentrations in serum samples to assess degradation or alteration across these temperature conditions. The analysis compares relative abundance changes to determine optimal storage protocols for preserving lipidomic integrity over this specific duration.",,10,1: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 2: Effects of sample handling and storage on quantitative lipid analysis in human serum | 3: Investigation of Storage Conditions and Quality Control Markers for Metabolites and Lipids in Human Feces | 4: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 5: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 6: Effects of Different Storage Conditions on Lipid Stability in Mice Tissue Homogenates | 7: The Influence of Storage on Human Milk Lipidome Stability for Lipidomic Studies | 8: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 9: Evaluation of metabolite stability in dried blood spot stored at different temperatures and times | 10: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,1: PMC10215277; doi:10.3390/antiox12050986 | 2: PMC2794342; doi:10.1007/s11306-009-0174-2 | 3: PMC12942472; doi:10.3390/metabo16020113 | 4: PMC6572224; doi:10.3390/metabo9050099 | 5: PMC13106266; doi:10.1007/s11306-026-02428-2 | 6: PMC10144362; doi:10.3390/metabo13040504 | 7: PMC8822481; doi:10.1021/acs.jproteome.1c00760 | 8: PMC9693613; doi:10.3390/metabo12111098 | 9: PMC11680943; doi:10.1038/s41598-024-82041-2 | 10: PMC4379062; doi:10.1371/journal.pone.0121495,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid:PMC2794342,2,0,1,1,1,0.5,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid,PMC2794342,s_d4a2621c
Q006,Freeze-thaw and frozen storage,How strongly does freezing serum before density-based lipoprotein fractionation affect HDL free cholesterol?,success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How strongly does freezing serum before density-based lipoprotein fractionation affect HDL free cholesterol? This study evaluates the impact of pre-fractionation serum freezing on HDL free cholesterol levels following density-based lipoprotein fractionation. We analyze changes in HDL free cholesterol concentrations in serum samples subjected to freezing protocols prior to separation. The investigation compares measured HDL free cholesterol values between frozen and non-frozen serum specimens to assess the effect of storage conditions on this specific analyte.,,10,"1: HDL structure and function is profoundly affected when stored frozen in the absence of cryoprotectants [S] | 2: Effects of sample handling and storage on quantitative lipid analysis in human serum | 3: Oxidized LDL is stable in human serum under extended thawed-state conditions ranging from −20 °C to room temperature | 4: Comparison of Lipid Measurements by Clinical Chemistry and NMR Spectroscopy | 5: Time collection and storage conditions of lipid profile | 6: Comparison of the Japan Society of Clinical Chemistry reference method and CDC method for HDL and LDL cholesterol measurements using fresh sera | 7: Review of Laboratory Methods to Determine HDL and LDL Subclasses and Their Clinical Importance | 8: Comparison of Two Homogeneous LDL-Cholesterol Assays Using Fresh Hypertriglyceridemic Serum and Quantitative Ultracentrifugation Fractions | 9: Effect of Delayed Centrifugation on the Levels of NMR-Measured Lipoproteins and Metabolites in Plasma and Serum Samples | 10: Simultaneous Isolation and Characterization of Lipoprotein Classes in Plasma, Including HDL Subclasses and the Uncharacterized Dense HDL",1: PMC5665661; doi:10.1194/jlr.D075366 | 2: PMC2794342; doi:10.1007/s11306-009-0174-2 | 3: PMC9791165; doi:10.1016/j.jmsacl.2022.12.001 | 4: PMC12785627; doi:10.3390/diagnostics16010028 | 5: PMC5769759; doi:10.1590/1414-431X20176955 | 6: PMC8145738; doi:10.1016/j.plabm.2021.e00228 | 7: PMC11273998; doi:10.31083/j.rcm2304147 | 8: PMC6845691; doi:10.5551/jat.47191 | 9: PMC9753045; doi:10.1021/acs.analchem.2c02167 | 10: bio_7039ef137c54; doi:10.1101/2025.09.29.679308,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid:PMC2794342,2,0,1,1,1,0.5,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid,PMC2794342,s_045ba371
Q007,Pre-centrifugation delay and transport,How long can blood be kept on ice before snap-freezing if I want to analyze both the proteome and metabolome?,success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,"How long can blood be kept on ice before snap-freezing if I want to analyze both the proteome and metabolome? This study evaluates the stability of human whole blood samples stored on ice for varying durations prior to snap-freezing, specifically assessing the impact on downstream proteomic and metabolomic analyses. The investigation measures analyte integrity and quantification accuracy across different pre-freeze holding times to determine optimal processing windows for multi-omics profiling.",,10,1: Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis | 2: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 3: Global Stability of Plasma Proteomes for Mass Spectrometry-Based Analyses * | 4: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 5: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 6: Stability of Metabolomic Content during Sample Preparation: Blood and Brain Tissues | 7: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 8: An Overview of Pre-Analytical Factors Impacting Metabolomics Analyses of Blood Samples | 9: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 10: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome,1: PMC9808085; doi:10.3389/fmolb.2022.961448 | 2: PMC9693613; doi:10.3390/metabo12111098 | 3: PMC3433892; doi:10.1074/mcp.M111.014340 | 4: PMC13106266; doi:10.1007/s11306-026-02428-2 | 5: PMC6572224; doi:10.3390/metabo9050099 | 6: PMC9505456; doi:10.3390/metabo12090811 | 7: PMC5875996; doi:10.3390/metabo8010006 | 8: PMC11433674; doi:10.3390/metabo14090474 | 9: PMC10215277; doi:10.3390/antiox12050986 | 10: PMC6316012; doi:10.3390/metabo8040088,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid:PMC9808085,1,1,1,1,1,1.0,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid,PMC9808085,s_abc7fed3
Q008,"Specimen, tube, and processing effects",Does changing the centrifugation conditions significantly affect the measured plasma metabolome or proteome?,success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,"Does changing the centrifugation conditions significantly affect the measured plasma metabolome or proteome? This study evaluates whether variations in centrifugation conditions significantly affect the measured plasma metabolome or proteome. Plasma samples were subjected to different centrifugation protocols, and the resulting metabolomic and proteomic profiles were analyzed to determine the impact of these processing variables on the stability and composition of the plasma analytes.",,10,1: Does centrifugation matter? Centrifugal force and spinning time alter the plasma metabolome | 2: Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis | 3: Effect of Delayed Centrifugation on the Levels of NMR-Measured Lipoproteins and Metabolites in Plasma and Serum Samples | 4: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome | 5: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 6: Variable blood processing procedures contribute to plasma proteomic variability | 7: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 8: An Overview of Pre-Analytical Factors Impacting Metabolomics Analyses of Blood Samples | 9: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 10: Plasma Instead of Serum Avoids Critical Confounding of Clinical Metabolomics Studies by Platelets,1: PMC5025507; doi:10.1007/s11306-016-1109-3 | 2: PMC9808085; doi:10.3389/fmolb.2022.961448 | 3: PMC9753045; doi:10.1021/acs.analchem.2c02167 | 4: PMC6316012; doi:10.3390/metabo8040088 | 5: PMC5187835; doi:10.3390/ijms17122035 | 6: PMC7816468; doi:10.1186/s12014-021-09311-3 | 7: PMC9693613; doi:10.3390/metabo12111098 | 8: PMC11433674; doi:10.3390/metabo14090474 | 9: PMC13106266; doi:10.1007/s11306-026-02428-2 | 10: PMC11301681; doi:10.1021/acs.jproteome.3c00761,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid:PMC9808085,2,0,1,1,1,0.5,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid,PMC9808085,s_d8897d23
Q009,Pre-centrifugation delay and transport,How sensitive are plasma and serum cytokine measurements to short delays in blood processing?,success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How sensitive are plasma and serum cytokine measurements to short delays in blood processing? This study evaluates the sensitivity of plasma and serum cytokine measurements to short delays in blood processing. Cytokine concentrations are quantified in paired plasma and serum samples subjected to varying pre-analytical processing intervals. The analysis compares analyte stability across different storage durations to determine the impact of processing delays on measurement accuracy.,,10,1: Effects of blood sample handling procedures on measurable interleukin 6 in plasma and serum | 2: Multiplex Cytokine Concentration Measurement: How Much Do the Medium and Handling Matter? | 3: Effects of processing conditions on stability of immune analytes in human blood | 4: The holding temperature of blood during a delay to processing can affect serum and plasma protein measurements | 5: Pre-analytical sample handling effects on blood cytokine levels: quality control of a COVID-19 biobank | 6: Impact of short-term storage of plasma samples on quantitation of ultra-low levels of interleukin-6 | 7: Prerequisites for cytokine measurements in clinical trials with multiplex immunoassays | 8: Impact of Delayed Centrifugation on Interleukin 6 Determination in Human Blood | 9: Comparison of Bead-Based Fluorescence Versus Planar Electrochemiluminescence Multiplex Immunoassays for Measuring Cytokines in Human Plasma | 10: Baseline Levels and Temporal Stability of 27 Multiplexed Serum Cytokine Concentrations in Healthy Subjects,1: PMC6757116; doi:10.1002/jcla.22924 | 2: PMC3804442; doi:10.1155/2013/890706 | 3: PMC7566484; doi:10.1038/s41598-020-74274-8 | 4: PMC7985364; doi:10.1038/s41598-021-85052-5 | 5: PMC8359910; doi:10.2217/bmm-2020-0770 | 6: PMC8593303; doi:10.1177/03000605211056846 | 7: PMC2761376; doi:10.1186/1471-2172-10-52 | 8: PMC12109806; doi:10.3390/diagnostics15101187 | 9: PMC7546899; doi:10.3389/fimmu.2020.572634 | 10: PMC3861126; doi:10.1371/journal.pone.0076091,Effects of processing conditions on stability of immune analytes in human blood,pmcid:PMC7566484,3,0,1,1,1,0.333333,Effects of processing conditions on stability of immune analytes in human blood,pmcid,PMC7566484,s_a82815ac
Q010,Biospecimen quality control and SOPs,How quickly should blood be processed for flow or mass cytometry when measuring sensitive cell populations?,success,,hyde,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How quickly should blood be processed for flow or mass cytometry when measuring sensitive cell populations? This study evaluates the impact of processing delays on the integrity of sensitive cell populations in whole blood samples intended for flow or mass cytometry. We assess the stability of specific cellular markers across varying time intervals post-collection to determine optimal handling windows. The investigation focuses on quantifying changes in cell viability and antigen expression as a function of time from phlebotomy to analysis.,,10,1: Impact on in-depth immunophenotyping of delay to peripheral blood processing | 2: Effects of processing conditions on stability of immune analytes in human blood | 3: Effects of storage time and temperature on highly multiparametric flow analysis of peripheral blood samples; implications for clinical trial samples | 4: Viability-Compatible Preservation for Mass Cytometry Using Cisplatin Pulse Quenching and Gradual Formaldehyde Release | 5: Multimodal analysis for human ex vivo studies shows extensive molecular changes from delays in blood processing | 6: Donor-Specific Plasma Factors Contribute to Aberrant Staining Artifacts with a Commercial Lyophilized Mass Cytometry Antibody Panel | 7: Protocol for large scale whole blood immune monitoring by mass cytometry and Cyto Quality Pipeline | 8: A Modified Injector and Sample Acquisition Protocol Can Improve Data Quality and Reduce Inter-Instrument Variability of the Helios Mass Cytometer | 9: Comparison of Whole Blood Cryopreservation Methods for Extensive Flow Cytometry Immunophenotyping | 10: High-Throughput Mass Cytometry Staining for Immunophenotyping Clinical Samples,1: PMC11239563; doi:10.1093/cei/uxae041 | 2: PMC7566484; doi:10.1038/s41598-020-74274-8 | 3: PMC7921292; doi:10.1042/BSR20203827 | 4: med_e77facf675df; doi:10.1101/2025.08.08.25333023 | 5: PMC8169801; doi:10.1016/j.isci.2021.102404 | 6: bio_cf9d98d16d07; doi:10.1101/2020.11.30.405027 | 7: PMC9637821; doi:10.1016/j.xpro.2022.101697 | 8: bio_6a6834c46c14; doi:10.1101/600130 | 9: PMC9103885; doi:10.3390/cells11091527 | 10: PMC7580234; doi:10.1016/j.xpro.2020.100055,Effects of processing conditions on stability of immune analytes in human blood,pmcid:PMC7566484,2,0,1,1,1,0.5,Effects of processing conditions on stability of immune analytes in human blood,pmcid,PMC7566484,s_6f4e17b6
