question_id,question,k,ROUGE1_Nugget@k,ROUGEL_Nugget@k,ROUGE_Nugget@k,BM25_Nugget@k,nugget_count,retrieved_snippet_count
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0
BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,0.0,0.0,0.0,0.0,4,0
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,0.0,0.0,0.0,0.0,4,0
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,0.0,0.0,0.0,0.0,4,0
BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,0.0,0.0,0.0,0.0,4,0
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0
BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,0.0795,0.0689,0.0742,0.1668,4,1
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,0.1169,0.0922,0.1046,0.263,4,3
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,0.1169,0.0922,0.1046,0.2596,4,5
BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,0.1286,0.0987,0.1137,0.2555,4,9
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,0.0,0.0,0.0,0.0,4,0
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,0.0,0.0,0.0,0.0,4,0
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,0.0,0.0,0.0,0.0,4,0
BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,0.0,0.0,0.0,0.0,4,0
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,0.0,0.0,0.0,0.0,4,0
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,0.0,0.0,0.0,0.0,4,0
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,0.0,0.0,0.0,0.0,4,0
BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,0.0,0.0,0.0,0.0,4,0
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,0.0,0.0,0.0,0.0,4,0
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,3,0.0,0.0,0.0,0.0,4,0
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,5,0.0,0.0,0.0,0.0,4,0
BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,10,0.0,0.0,0.0,0.0,4,0
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,1,0.0,0.0,0.0,0.0,4,0
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,3,0.0,0.0,0.0,0.0,4,0
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,5,0.0,0.0,0.0,0.0,4,0
BQ008,Can serum and plasma be used interchangeably for cytokine or proteomic analyses after processing delay?,10,0.0,0.0,0.0,0.0,4,0
