metric_group,metric_name,k,baseline_run,baseline_score,compared_run,compared_score,delta,relative_delta_percent
lexical,BM25_Nugget@k,1,lexical,0.0249,hybrid,0.0246,-0.0003,-1.2
lexical,BM25_Nugget@k,3,lexical,0.03,hybrid,0.0365,0.0065,21.67
lexical,BM25_Nugget@k,5,lexical,0.0402,hybrid,0.044,0.0038,9.45
lexical,BM25_Nugget@k,10,lexical,0.046,hybrid,0.046,0.0,0.0
lexical,ROUGE1_Nugget@k,1,lexical,0.016,hybrid,0.0146,-0.0014,-8.75
lexical,ROUGE1_Nugget@k,3,lexical,0.0179,hybrid,0.0206,0.0027,15.08
lexical,ROUGE1_Nugget@k,5,lexical,0.0216,hybrid,0.0219,0.0003,1.39
lexical,ROUGE1_Nugget@k,10,lexical,0.0232,hybrid,0.0232,0.0,0.0
lexical,ROUGEL_Nugget@k,1,lexical,0.014,hybrid,0.0125,-0.0015,-10.71
lexical,ROUGEL_Nugget@k,3,lexical,0.0152,hybrid,0.0181,0.0029,19.08
lexical,ROUGEL_Nugget@k,5,lexical,0.0191,hybrid,0.0191,0.0,0.0
lexical,ROUGEL_Nugget@k,10,lexical,0.0205,hybrid,0.0205,0.0,0.0
lexical,ROUGE_Nugget@k,1,lexical,0.015,hybrid,0.0135,-0.0015,-10.0
lexical,ROUGE_Nugget@k,3,lexical,0.0166,hybrid,0.0193,0.0027,16.27
lexical,ROUGE_Nugget@k,5,lexical,0.0204,hybrid,0.0205,0.0001,0.49
lexical,ROUGE_Nugget@k,10,lexical,0.0218,hybrid,0.0218,0.0,0.0
semantic,SemanticAnswerMatch@k,1,lexical,0.106,hybrid,0.1106,0.0046,4.34
semantic,SemanticAnswerMatch@k,3,lexical,0.1106,hybrid,0.1106,0.0,0.0
semantic,SemanticAnswerMatch@k,5,lexical,0.1106,hybrid,0.1106,0.0,0.0
semantic,SemanticAnswerMatch@k,10,lexical,0.1106,hybrid,0.1106,0.0,0.0
semantic,SemanticNuggetMatch@k,1,lexical,0.0556,hybrid,0.0568,0.0012,2.16
semantic,SemanticNuggetMatch@k,3,lexical,0.0606,hybrid,0.0681,0.0075,12.38
semantic,SemanticNuggetMatch@k,5,lexical,0.0618,hybrid,0.0688,0.007,11.33
semantic,SemanticNuggetMatch@k,10,lexical,0.0691,hybrid,0.0691,0.0,0.0
