question_id,category,question,status,error,query_strategy,llm_model,llm_provider,llm_base_url,paperclip_ranking,paperclip_source,paperclip_full_corpus,retrieval_limit,query_sent,expansion_terms,retrieved_count,retrieved_documents,retrieved_document_ids,gold_documents,gold_document_ids,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,hit_at_10,reciprocal_rank,matched_document,match_type,matched_identifier,paperclip_result_id
Q001,Storage temperature and duration,Which group of metabolites stayed stable for at least 24 hours when uncentrifuged serum and plasma were kept either on cool packs or at room temperature?,success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,Which group of metabolites stayed stable for at least 24 hours when uncentrifuged serum and plasma were kept either on cool packs or at room temperature?,,10,1: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 2: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 3: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 4: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 5: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome | 6: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 7: Stability of Metabolomic Content during Sample Preparation: Blood and Brain Tissues | 8: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 9: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 10: Stability of targeted metabolite profiles of urine samples under different storage conditions,1: PMC5875996; doi:10.3390/metabo8010006 | 2: PMC3933650; doi:10.1371/journal.pone.0089728 | 3: PMC10215277; doi:10.3390/antiox12050986 | 4: PMC6572224; doi:10.3390/metabo9050099 | 5: PMC6316012; doi:10.3390/metabo8040088 | 6: PMC13106266; doi:10.1007/s11306-026-02428-2 | 7: PMC9505456; doi:10.3390/metabo12090811 | 8: PMC4379062; doi:10.1371/journal.pone.0121495 | 9: PMC9693613; doi:10.3390/metabo12111098 | 10: PMC5126183; doi:10.1007/s11306-016-1137-z,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid:PMC3933650,2,0,1,1,1,0.5,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid,PMC3933650,s_31ba8cf1
Q002,Freeze-thaw and frozen storage,How stable are serum metabolites after two freeze-thaw cycles?,success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How stable are serum metabolites after two freeze-thaw cycles?,,10,1: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 2: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 3: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 4: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 5: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 6: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 7: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 8: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 9: Stability of amino acids and related amines in human serum under different preprocessing and pre-storage conditions based on iTRAQ ® -LC-MS/MS | 10: Stability of targeted metabolite profiles of urine samples under different storage conditions,1: PMC9693613; doi:10.3390/metabo12111098 | 2: PMC3933650; doi:10.1371/journal.pone.0089728 | 3: PMC5875996; doi:10.3390/metabo8010006 | 4: PMC10215277; doi:10.3390/antiox12050986 | 5: PMC4379062; doi:10.1371/journal.pone.0121495 | 6: PMC6572224; doi:10.3390/metabo9050099 | 7: PMC5187835; doi:10.3390/ijms17122035 | 8: PMC13106266; doi:10.1007/s11306-026-02428-2 | 9: PMC7928226; doi:10.1242/bio.055020 | 10: PMC5126183; doi:10.1007/s11306-016-1137-z,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid:PMC3933650,2,0,1,1,1,0.5,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid,PMC3933650,s_bcd389e0
Q003,Pre-centrifugation delay and transport,How much does prolonged room-temperature handling before storage alter the serum metabolome?,success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How much does prolonged room-temperature handling before storage alter the serum metabolome?,,10,"1: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 2: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome | 3: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 4: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 5: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 6: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 7: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 8: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 9: Pre-Analytical Factors that Affect Metabolite Stability in Human Urine, Plasma, and Serum: A Review | 10: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability",1: PMC5875996; doi:10.3390/metabo8010006 | 2: PMC6316012; doi:10.3390/metabo8040088 | 3: PMC5187835; doi:10.3390/ijms17122035 | 4: PMC6572224; doi:10.3390/metabo9050099 | 5: PMC10215277; doi:10.3390/antiox12050986 | 6: PMC4379062; doi:10.1371/journal.pone.0121495 | 7: PMC3933650; doi:10.1371/journal.pone.0089728 | 8: PMC13106266; doi:10.1007/s11306-026-02428-2 | 9: PMC6724180; doi:10.3390/metabo9080156 | 10: PMC9693613; doi:10.3390/metabo12111098,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid:PMC4379062,6,0,0,0,1,0.166667,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid,PMC4379062,s_ea6f6ed4
Q004,Biospecimen quality control and SOPs,Should serum samples be kept at room temperature before they are stored in a biobank?,success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,Should serum samples be kept at room temperature before they are stored in a biobank?,,10,1: Quality assessment from biobank plasma and serum specimens: a systematic review | 2: Current standards for the storage of human samples in biobanks | 3: Repository of Human Blood Derivative Biospecimens in Biobank: Technical Implications | 4: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 5: The holding temperature of blood during a delay to processing can affect serum and plasma protein measurements | 6: Sample Management: Stability of Plasma and Serum on Different Storage Conditions | 7: The effect of storage time and freeze-thaw cycles on the stability of serum samples | 8: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 9: Pre-analytical stability of the plasma proteomes based on the storage temperature | 10: Assessment of the stability of 20 biochemical analytes in serum and whole blood samples after storage at nonstandard temperatures,1: PMC12514999; doi:10.7717/peerj.20122 | 2: PMC2988449; doi:10.1186/gm193 | 3: PMC4430793 | 4: PMC4379062; doi:10.1371/journal.pone.0121495 | 5: PMC7985364; doi:10.1038/s41598-021-85052-5 | 6: PMC7109503 | 7: PMC3900085; doi:10.11613/BM.2013.009 | 8: PMC5187835; doi:10.3390/ijms17122035 | 9: PMC3658880; doi:10.1186/1477-5956-11-10 | 10: PMC12769415; doi:10.1016/j.plabm.2025.e00514,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid:PMC4379062,4,0,0,1,1,0.25,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid,PMC4379062,s_5dced049
Q005,Storage temperature and duration,"How stable are serum lipid metabolites after one week at 4°C, −20°C, or −80°C?",success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,"How stable are serum lipid metabolites after one week at 4°C, −20°C, or −80°C?",,10,1: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 2: Effects of sample handling and storage on quantitative lipid analysis in human serum | 3: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 4: Effects of Different Storage Conditions on Lipid Stability in Mice Tissue Homogenates | 5: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 6: The Influence of Storage on Human Milk Lipidome Stability for Lipidomic Studies | 7: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 8: Investigation of Storage Conditions and Quality Control Markers for Metabolites and Lipids in Human Feces | 9: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 10: Ex vivo instability of lipids in whole blood: preanalytical recommendations for clinical lipidomics studies,1: PMC10215277; doi:10.3390/antiox12050986 | 2: PMC2794342; doi:10.1007/s11306-009-0174-2 | 3: PMC6572224; doi:10.3390/metabo9050099 | 4: PMC10144362; doi:10.3390/metabo13040504 | 5: PMC13106266; doi:10.1007/s11306-026-02428-2 | 6: PMC8822481; doi:10.1021/acs.jproteome.1c00760 | 7: PMC9693613; doi:10.3390/metabo12111098 | 8: PMC12942472; doi:10.3390/metabo16020113 | 9: PMC3933650; doi:10.1371/journal.pone.0089728 | 10: PMC10208886; doi:10.1016/j.jlr.2023.100378,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid:PMC2794342,2,0,1,1,1,0.5,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid,PMC2794342,s_512f9e2f
Q006,Freeze-thaw and frozen storage,How strongly does freezing serum before density-based lipoprotein fractionation affect HDL free cholesterol?,success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How strongly does freezing serum before density-based lipoprotein fractionation affect HDL free cholesterol?,,10,1: HDL structure and function is profoundly affected when stored frozen in the absence of cryoprotectants [S] | 2: Effects of sample handling and storage on quantitative lipid analysis in human serum | 3: Comparison of the Japan Society of Clinical Chemistry reference method and CDC method for HDL and LDL cholesterol measurements using fresh sera | 4: Review of Laboratory Methods to Determine HDL and LDL Subclasses and Their Clinical Importance | 5: Comparison of Two Homogeneous LDL-Cholesterol Assays Using Fresh Hypertriglyceridemic Serum and Quantitative Ultracentrifugation Fractions | 6: High density lipoproteins: Measurement techniques and potential biomarkers of cardiovascular risk | 7: Comparison of Lipid Measurements by Clinical Chemistry and NMR Spectroscopy | 8: Isolation of HDL by sequential flotation ultracentrifugation followed by size exclusion chromatography reveals size-based enrichment of HDL-associated proteins | 9: Methods of Low-Density Lipoprotein-Cholesterol Measurement: Analytical and Clinical Applications | 10: Oxidized LDL is stable in human serum under extended thawed-state conditions ranging from −20 °C to room temperature,1: PMC5665661; doi:10.1194/jlr.D075366 | 2: PMC2794342; doi:10.1007/s11306-009-0174-2 | 3: PMC8145738; doi:10.1016/j.plabm.2021.e00228 | 4: PMC11273998; doi:10.31083/j.rcm2304147 | 5: PMC6845691; doi:10.5551/jat.47191 | 6: PMC4661556; doi:10.1016/j.bbacli.2015.01.005 | 7: PMC12785627; doi:10.3390/diagnostics16010028 | 8: PMC8352908; doi:10.1038/s41598-021-95451-3 | 9: PMC9768618 | 10: PMC9791165; doi:10.1016/j.jmsacl.2022.12.001,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid:PMC2794342,2,0,1,1,1,0.5,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid,PMC2794342,s_a7f84d5f
Q007,Pre-centrifugation delay and transport,How long can blood be kept on ice before snap-freezing if I want to analyze both the proteome and metabolome?,success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How long can blood be kept on ice before snap-freezing if I want to analyze both the proteome and metabolome?,,10,1: Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis | 2: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 3: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome | 4: An Overview of Pre-Analytical Factors Impacting Metabolomics Analyses of Blood Samples | 5: Stability of Metabolomic Content during Sample Preparation: Blood and Brain Tissues | 6: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 7: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 8: Global Stability of Plasma Proteomes for Mass Spectrometry-Based Analyses * | 9: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 10: Effects of pre-analytical processes on blood samples used in metabolomics studies,1: PMC9808085; doi:10.3389/fmolb.2022.961448 | 2: PMC9693613; doi:10.3390/metabo12111098 | 3: PMC6316012; doi:10.3390/metabo8040088 | 4: PMC11433674; doi:10.3390/metabo14090474 | 5: PMC9505456; doi:10.3390/metabo12090811 | 6: PMC6572224; doi:10.3390/metabo9050099 | 7: PMC5187835; doi:10.3390/ijms17122035 | 8: PMC3433892; doi:10.1074/mcp.M111.014340 | 9: PMC5875996; doi:10.3390/metabo8010006 | 10: PMC4471316; doi:10.1007/s00216-015-8565-x,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid:PMC9808085,1,1,1,1,1,1.0,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid,PMC9808085,s_771742f3
Q008,"Specimen, tube, and processing effects",Does changing the centrifugation conditions significantly affect the measured plasma metabolome or proteome?,success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,Does changing the centrifugation conditions significantly affect the measured plasma metabolome or proteome?,,10,"1: Does centrifugation matter? Centrifugal force and spinning time alter the plasma metabolome | 2: Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis | 3: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome | 4: Effect of Delayed Centrifugation on the Levels of NMR-Measured Lipoproteins and Metabolites in Plasma and Serum Samples | 5: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 6: Serum or Plasma (and Which Plasma), That Is the Question | 7: Plasma Instead of Serum Avoids Critical Confounding of Clinical Metabolomics Studies by Platelets | 8: An Overview of Pre-Analytical Factors Impacting Metabolomics Analyses of Blood Samples | 9: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 10: Variable blood processing procedures contribute to plasma proteomic variability",1: PMC5025507; doi:10.1007/s11306-016-1109-3 | 2: PMC9808085; doi:10.3389/fmolb.2022.961448 | 3: PMC6316012; doi:10.3390/metabo8040088 | 4: PMC9753045; doi:10.1021/acs.analchem.2c02167 | 5: PMC5187835; doi:10.3390/ijms17122035 | 6: PMC8981325; doi:10.1021/acs.jproteome.1c00935 | 7: PMC11301681; doi:10.1021/acs.jproteome.3c00761 | 8: PMC11433674; doi:10.3390/metabo14090474 | 9: PMC13106266; doi:10.1007/s11306-026-02428-2 | 10: PMC7816468; doi:10.1186/s12014-021-09311-3,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid:PMC9808085,2,0,1,1,1,0.5,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid,PMC9808085,s_502b6a85
Q009,Pre-centrifugation delay and transport,How sensitive are plasma and serum cytokine measurements to short delays in blood processing?,success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How sensitive are plasma and serum cytokine measurements to short delays in blood processing?,,10,1: Multiplex Cytokine Concentration Measurement: How Much Do the Medium and Handling Matter? | 2: The holding temperature of blood during a delay to processing can affect serum and plasma protein measurements | 3: Effects of blood sample handling procedures on measurable interleukin 6 in plasma and serum | 4: Pre-analytical sample handling effects on blood cytokine levels: quality control of a COVID-19 biobank | 5: Impact of short-term storage of plasma samples on quantitation of ultra-low levels of interleukin-6 | 6: Effects of processing conditions on stability of immune analytes in human blood | 7: Prerequisites for cytokine measurements in clinical trials with multiplex immunoassays | 8: Impact of Delayed Centrifugation on Interleukin 6 Determination in Human Blood | 9: Baseline Levels and Temporal Stability of 27 Multiplexed Serum Cytokine Concentrations in Healthy Subjects | 10: Comparison of Bead-Based Fluorescence Versus Planar Electrochemiluminescence Multiplex Immunoassays for Measuring Cytokines in Human Plasma,1: PMC3804442; doi:10.1155/2013/890706 | 2: PMC7985364; doi:10.1038/s41598-021-85052-5 | 3: PMC6757116; doi:10.1002/jcla.22924 | 4: PMC8359910; doi:10.2217/bmm-2020-0770 | 5: PMC8593303; doi:10.1177/03000605211056846 | 6: PMC7566484; doi:10.1038/s41598-020-74274-8 | 7: PMC2761376; doi:10.1186/1471-2172-10-52 | 8: PMC12109806; doi:10.3390/diagnostics15101187 | 9: PMC3861126; doi:10.1371/journal.pone.0076091 | 10: PMC7546899; doi:10.3389/fimmu.2020.572634,Effects of processing conditions on stability of immune analytes in human blood,pmcid:PMC7566484,6,0,0,0,1,0.166667,Effects of processing conditions on stability of immune analytes in human blood,pmcid,PMC7566484,s_f92522fa
Q010,Biospecimen quality control and SOPs,How quickly should blood be processed for flow or mass cytometry when measuring sensitive cell populations?,success,,raw,,,,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How quickly should blood be processed for flow or mass cytometry when measuring sensitive cell populations?,,10,"1: Effects of storage time and temperature on highly multiparametric flow analysis of peripheral blood samples; implications for clinical trial samples | 2: Impact on in-depth immunophenotyping of delay to peripheral blood processing | 3: Effects of processing conditions on stability of immune analytes in human blood | 4: Multimodal analysis for human ex vivo studies shows extensive molecular changes from delays in blood processing | 5: Effects of Blood Transportation on Human Peripheral Mononuclear Cell Yield, Phenotype and Function: Implications for Immune Cell Biobanking | 6: Phenotypic and functional stability of leukocytes from human peripheral blood samples: considerations for the design of immunological studies | 7: An easy and reliable whole blood freezing method for flow cytometry immunophenotyping and functional analyses | 8: Optimization of Blood Handling and Peripheral Blood Mononuclear Cell Cryopreservation of Low Cell Number Samples | 9: Comparison of Whole Blood Cryopreservation Methods for Extensive Flow Cytometry Immunophenotyping | 10: Impact of Pre-Analytical and Analytical Variables Associated with Sample Preparation on Flow Cytometric Stainings Obtained with EuroFlow Panels",1: PMC7921292; doi:10.1042/BSR20203827 | 2: PMC11239563; doi:10.1093/cei/uxae041 | 3: PMC7566484; doi:10.1038/s41598-020-74274-8 | 4: PMC8169801; doi:10.1016/j.isci.2021.102404 | 5: PMC4277394; doi:10.1371/journal.pone.0115920 | 6: PMC6339328; doi:10.1186/s12865-019-0286-z | 7: bio_74894eb66c64; doi:10.1101/2020.08.12.248450 | 8: PMC8431655; doi:10.3390/ijms22179129 | 9: PMC9103885; doi:10.3390/cells11091527 | 10: PMC8833630; doi:10.3390/cancers14030473,Effects of processing conditions on stability of immune analytes in human blood,pmcid:PMC7566484,3,0,1,1,1,0.333333,Effects of processing conditions on stability of immune analytes in human blood,pmcid,PMC7566484,s_f04dc6cd
