question_id,question,ranking_method,rank,score,title,evidence_text,year,journal,doi,source,ext_id,url,score_components_json
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,1,12.1,"Plasma levels of corticosterone, tumor necrosis factor receptor 1 and interleukin 6 are influenced by age, sex and chronic inflammation in mice treated with acute temperature stress.","Here we describe the impact of a five-hour exposure to cold temperature acute stressor, on immune and corticosterone response using older and younger IL-10<sup>tm/tm</sup> mice, a mouse model with chronic inflammatory pathway activation, and age and gender matched C57/Bl6 background control (WT) mice. Overall, mice exposed to 4 °C for 5 h had significantly higher plasma corticosterone levels compared to those that remained at room temperature (25 °C), with the exception of the WT females.",2020,,10.1016/j.exger.2020.111136,MED,33164891,https://pmc.ncbi.nlm.nih.gov/articles/PMC7705815/,"{""ranker"": ""lexical"", ""lexical_raw"": 12.1, ""final_score"": 12.1}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,2,11.85,"Plasma levels of corticosterone, tumor necrosis factor receptor 1 and interleukin 6 are influenced by age, sex and chronic inflammation in mice treated with acute temperature stress.","Overall, mice exposed to 4 °C for 5 h had significantly higher plasma corticosterone levels compared to those that remained at room temperature (25 °C), with the exception of the WT females. Cold stressed mice had lower plasma tumor necrosis factor receptor 1 (TNFR1) levels with varying significance, in all ages and phenotypes, with the exception of the old female WT mice.",2020,,10.1016/j.exger.2020.111136,MED,33164891,https://pmc.ncbi.nlm.nih.gov/articles/PMC7705815/,"{""ranker"": ""lexical"", ""lexical_raw"": 11.85, ""final_score"": 11.85}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,3,11.2,Assessing the Preanalytical Variability of Plasma and Cerebrospinal Fluid Processing and Its Effects on Inflammation-Related Protein Biomarkers.,"The purpose of this study was to examine the effects of delayed centrifuging on measured protein levels in plasma and cerebrospinal fluid (CSF). Blood from healthy individuals and patients with multiple sclerosis along with CSF from patients with suspected neurological disorders were left at room temperature for different periods (blood: 1, 24, 48, 72 h; CSF: 1 and 6 h) prior to centrifuging.",2021,,10.1016/j.mcpro.2021.100157,MED,34597789,https://pmc.ncbi.nlm.nih.gov/articles/PMC8554621/,"{""ranker"": ""lexical"", ""lexical_raw"": 11.2, ""final_score"": 11.2}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,4,10.7,Assessing the Preanalytical Variability of Plasma and Cerebrospinal Fluid Processing and Its Effects on Inflammation-Related Protein Biomarkers.,"In summary, many proteins, particularly in plasma, had increased levels with longer delays in processing likely due in part to intracellular leakage. Levels of caspase 8, interleukin 8, interleukin 18, sirtuin 2, and sulfotransferase 1A1 increased 2-fold to 10-fold in plasma after 24 h at room temperature.",2021,,10.1016/j.mcpro.2021.100157,MED,34597789,https://pmc.ncbi.nlm.nih.gov/articles/PMC8554621/,"{""ranker"": ""lexical"", ""lexical_raw"": 10.7, ""final_score"": 10.7}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,5,10.7,Assessing the Preanalytical Variability of Plasma and Cerebrospinal Fluid Processing and Its Effects on Inflammation-Related Protein Biomarkers.,"Levels of caspase 8, interleukin 8, interleukin 18, sirtuin 2, and sulfotransferase 1A1 increased 2-fold to 10-fold in plasma after 24 h at room temperature. Similarly, levels of cathepsin H, ectonucleoside triphosphate diphosphohydrolase 5, and WW domain containing E3 ubiquitin protein ligase 2 differentiated in CSF with <6 h delay in processing.",2021,,10.1016/j.mcpro.2021.100157,MED,34597789,https://pmc.ncbi.nlm.nih.gov/articles/PMC8554621/,"{""ranker"": ""lexical"", ""lexical_raw"": 10.7, ""final_score"": 10.7}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,6,10.25,"Comparison of bioactive substances in novel-developed freeze-dried platelet-rich plasma (PRP) and activated normal PRP, and investigation of bioactive substance levels after long-term storage.","<h4>Introduction</h4>In recent years, biotherapy in orthopedics has become widespread, and platelet-rich plasma (PRP) has been readily used to treat sports injuries and osteoarthritis. Production of freeze-dried PRP (PRP-FD) results in PRP that is in powder form, allowing it to be stored for long periods at room temperature.",2024,,10.1016/j.reth.2024.03.021,MED,38571893,https://pmc.ncbi.nlm.nih.gov/articles/PMC10990710/,"{""ranker"": ""lexical"", ""lexical_raw"": 10.25, ""final_score"": 10.25}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,7,9.25,"Two Methods for Evaluating the Effect of pre-Analytical Handling Procedures on Interleukin 6, Interleukin 8, and Tumor Necrosis Factor α.","Furthermore, we used two detection methods to find plasma cytokines showing more stability than serum cytokines, when the samples were stored at 4°C. Additionally, IL-8 concentration was affected by the storage conditions of whole blood from the time of collection until further processing at room temperature.",2025,,10.7754/clin.lab.2024.240126,MED,39808132,https://pubmed.ncbi.nlm.nih.gov/39808132/,"{""ranker"": ""lexical"", ""lexical_raw"": 9.25, ""final_score"": 9.25}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,8,8.4,[&lt;sup&gt;68&lt;/sup&gt;Ga]Ga-interleukin-2 for imaging activated T-lymphocytes: biochemical characterization and phase I study in normal subjects.,"Lyophilized kit of THP-desIL2 remained stable at -80 °C up to 6 months maintaining high RCP and LY. Phase I study showed a rapid plasma clearance, renal metabolism, safety and favorable dosimetry.<h4>Conclusions</h4>We developed an efficient lyophilized kit of THP-desIL2 for <sup>68</sup>Ga-labelling at room temperature in GMP conditions, obtaining excellent in vitro and in vivo results.",2025,,10.1007/s00259-025-07430-9,MED,40590904,https://pmc.ncbi.nlm.nih.gov/articles/PMC12660392/,"{""ranker"": ""lexical"", ""lexical_raw"": 8.4, ""final_score"": 8.4}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,9,8.25,"Comparison of bioactive substances in novel-developed freeze-dried platelet-rich plasma (PRP) and activated normal PRP, and investigation of bioactive substance levels after long-term storage.","Production of freeze-dried PRP (PRP-FD) results in PRP that is in powder form, allowing it to be stored for long periods at room temperature. Using this technology, we have developed Valuable Platelet-Derived Factor Concentrate Freeze Dry (VFD).",2024,,10.1016/j.reth.2024.03.021,MED,38571893,https://pmc.ncbi.nlm.nih.gov/articles/PMC10990710/,"{""ranker"": ""lexical"", ""lexical_raw"": 8.25, ""final_score"": 8.25}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,10,8.0,Effects of Temperature and Time on the Denaturation of Transforming Growth Factor Beta-1 and Cytokines from Bovine Platelet-Rich Gel Supernatants.,"IL-6 concentrations were significantly (<i>p</i> < 0.05) higher in PRGS stored at -20, and -80 over the first 48 h and at 10 days when compared to PRGS stored at 4, 21, and 37 °C. These results could suggest that P-PRP/P-PRGS could be maintained and well preserved for at least 12 days at room temperature for clinical use in bovine therapeutic massive protocols.",2024,,10.3390/gels10090583,MED,39330185,https://pmc.ncbi.nlm.nih.gov/articles/PMC11431824/,"{""ranker"": ""lexical"", ""lexical_raw"": 8.0, ""final_score"": 8.0}"
