question_id,category,question,status,error,query_strategy,llm_model,llm_provider,llm_base_url,paperclip_ranking,paperclip_source,paperclip_full_corpus,retrieval_limit,query_sent,expansion_terms,retrieved_count,retrieved_documents,retrieved_document_ids,gold_documents,gold_document_ids,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,hit_at_10,reciprocal_rank,matched_document,match_type,matched_identifier,paperclip_result_id
Q001,Storage temperature and duration,Which group of metabolites stayed stable for at least 24 hours when uncentrifuged serum and plasma were kept either on cool packs or at room temperature?,success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,Which group of metabolites stayed stable for at least 24 hours when uncentrifuged serum and plasma were kept either on cool packs or at room temperature? serum metabolite stability; plasma metabolite stability; ambient temperature storage; refrigerated transport,serum metabolite stability | plasma metabolite stability | ambient temperature storage | refrigerated transport,10,"1: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 2: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 3: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 4: Stability of targeted metabolite profiles of urine samples under different storage conditions | 5: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 6: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 7: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 8: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 9: Stability of Metabolomic Content during Sample Preparation: Blood and Brain Tissues | 10: Pre-Analytical Factors that Affect Metabolite Stability in Human Urine, Plasma, and Serum: A Review",1: PMC3933650; doi:10.1371/journal.pone.0089728 | 2: PMC10215277; doi:10.3390/antiox12050986 | 3: PMC5875996; doi:10.3390/metabo8010006 | 4: PMC5126183; doi:10.1007/s11306-016-1137-z | 5: PMC6572224; doi:10.3390/metabo9050099 | 6: PMC13106266; doi:10.1007/s11306-026-02428-2 | 7: PMC4379062; doi:10.1371/journal.pone.0121495 | 8: PMC9693613; doi:10.3390/metabo12111098 | 9: PMC9505456; doi:10.3390/metabo12090811 | 10: PMC6724180; doi:10.3390/metabo9080156,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid:PMC3933650,1,1,1,1,1,1.0,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid,PMC3933650,s_5f852ae1
Q002,Freeze-thaw and frozen storage,How stable are serum metabolites after two freeze-thaw cycles?,success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How stable are serum metabolites after two freeze-thaw cycles? serum metabolite stability; freeze-thaw stability; metabolite degradation; biological sample integrity; analyte stability,serum metabolite stability | freeze-thaw stability | metabolite degradation | biological sample integrity | analyte stability,10,"1: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 2: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 3: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 4: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 5: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 6: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 7: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 8: Pre-Analytical Factors that Affect Metabolite Stability in Human Urine, Plasma, and Serum: A Review | 9: The effects of thawing on the plasma metabolome: evaluating differences between thawed plasma and multi-organ samples | 10: Effects of sample handling and storage on quantitative lipid analysis in human serum",1: PMC9693613; doi:10.3390/metabo12111098 | 2: PMC3933650; doi:10.1371/journal.pone.0089728 | 3: PMC10215277; doi:10.3390/antiox12050986 | 4: PMC5875996; doi:10.3390/metabo8010006 | 5: PMC6572224; doi:10.3390/metabo9050099 | 6: PMC4379062; doi:10.1371/journal.pone.0121495 | 7: PMC5187835; doi:10.3390/ijms17122035 | 8: PMC6724180; doi:10.3390/metabo9080156 | 9: PMC5392536; doi:10.1007/s11306-017-1196-9 | 10: PMC2794342; doi:10.1007/s11306-009-0174-2,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid:PMC3933650,2,0,1,1,1,0.5,Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples,pmcid,PMC3933650,s_3ff1071a
Q003,Pre-centrifugation delay and transport,How much does prolonged room-temperature handling before storage alter the serum metabolome?,success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How much does prolonged room-temperature handling before storage alter the serum metabolome? serum metabolite stability; room temperature storage; metabolomic profiling; preanalytical delay; metabolite degradation,serum metabolite stability | room temperature storage | metabolomic profiling | preanalytical delay | metabolite degradation,10,"1: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome | 2: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 3: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 4: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome | 5: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 6: Pre-Analytical Factors that Affect Metabolite Stability in Human Urine, Plasma, and Serum: A Review | 7: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 8: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 9: An Overview of Pre-Analytical Factors Impacting Metabolomics Analyses of Blood Samples | 10: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle",1: PMC5875996; doi:10.3390/metabo8010006 | 2: PMC5187835; doi:10.3390/ijms17122035 | 3: PMC4379062; doi:10.1371/journal.pone.0121495 | 4: PMC6316012; doi:10.3390/metabo8040088 | 5: PMC10215277; doi:10.3390/antiox12050986 | 6: PMC6724180; doi:10.3390/metabo9080156 | 7: PMC3933650; doi:10.1371/journal.pone.0089728 | 8: PMC6572224; doi:10.3390/metabo9050099 | 9: PMC11433674; doi:10.3390/metabo14090474 | 10: PMC13106266; doi:10.1007/s11306-026-02428-2,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid:PMC4379062,3,0,1,1,1,0.333333,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid,PMC4379062,s_b8547e21
Q004,Biospecimen quality control and SOPs,Should serum samples be kept at room temperature before they are stored in a biobank?,success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,Should serum samples be kept at room temperature before they are stored in a biobank? room temperature storage; ambient temperature storage; serum stability; preanalytical conditions; biobank storage protocol,room temperature storage | ambient temperature storage | serum stability | preanalytical conditions | biobank storage protocol,10,1: Quality assessment from biobank plasma and serum specimens: a systematic review | 2: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 3: Pre-analytical stability of the plasma proteomes based on the storage temperature | 4: Current standards for the storage of human samples in biobanks | 5: Sample Management: Stability of Plasma and Serum on Different Storage Conditions | 6: The Influence of Serum Sample Storage Conditions on Selected Laboratory Parameters Related to Oxidative Stress: A Preliminary Study | 7: Assessment of the stability of 20 biochemical analytes in serum and whole blood samples after storage at nonstandard temperatures | 8: The holding temperature of blood during a delay to processing can affect serum and plasma protein measurements | 9: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 10: Stability studies of common biochemical analytes in serum separator tubes with or without gel barrier subjected to various storage conditions,1: PMC12514999; doi:10.7717/peerj.20122 | 2: PMC4379062; doi:10.1371/journal.pone.0121495 | 3: PMC3658880; doi:10.1186/1477-5956-11-10 | 4: PMC2988449; doi:10.1186/gm193 | 5: PMC7109503 | 6: PMC7168228; doi:10.3390/diagnostics10010051 | 7: PMC12769415; doi:10.1016/j.plabm.2025.e00514 | 8: PMC7985364; doi:10.1038/s41598-021-85052-5 | 9: PMC5187835; doi:10.3390/ijms17122035 | 10: PMC4062343,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid:PMC4379062,2,0,1,1,1,0.5,Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples,pmcid,PMC4379062,s_041ae19b
Q005,Storage temperature and duration,"How stable are serum lipid metabolites after one week at 4°C, −20°C, or −80°C?",success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,"How stable are serum lipid metabolites after one week at 4°C, −20°C, or −80°C? serum lipidomics; lipid metabolite stability; freeze-thaw stability; long-term storage stability; serum metabolite degradation",serum lipidomics | lipid metabolite stability | freeze-thaw stability | long-term storage stability | serum metabolite degradation,10,1: Short-Term Stability of Serum and Liver Extracts for Untargeted Metabolomics and Lipidomics | 2: Effects of sample handling and storage on quantitative lipid analysis in human serum | 3: Effects of Long-Term Storage at −80 °C on the Human Plasma Metabolome | 4: Effects of Different Storage Conditions on Lipid Stability in Mice Tissue Homogenates | 5: The Influence of Storage on Human Milk Lipidome Stability for Lipidomic Studies | 6: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 7: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 8: Targeted Metabolomics Identifies Reliable and Stable Metabolites in Human Serum and Plasma Samples | 9: Investigation of Storage Conditions and Quality Control Markers for Metabolites and Lipids in Human Feces | 10: Application of Lipid Class Ratios for Sample Stability Monitoring—Evaluation of Murine Tissue Homogenates and SDS as a Stabilizer,1: PMC10215277; doi:10.3390/antiox12050986 | 2: PMC2794342; doi:10.1007/s11306-009-0174-2 | 3: PMC6572224; doi:10.3390/metabo9050099 | 4: PMC10144362; doi:10.3390/metabo13040504 | 5: PMC8822481; doi:10.1021/acs.jproteome.1c00760 | 6: PMC13106266; doi:10.1007/s11306-026-02428-2 | 7: PMC9693613; doi:10.3390/metabo12111098 | 8: PMC3933650; doi:10.1371/journal.pone.0089728 | 9: PMC12942472; doi:10.3390/metabo16020113 | 10: PMC8146515; doi:10.3390/metabo11050277,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid:PMC2794342,2,0,1,1,1,0.5,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid,PMC2794342,s_f4a85a71
Q006,Freeze-thaw and frozen storage,How strongly does freezing serum before density-based lipoprotein fractionation affect HDL free cholesterol?,success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How strongly does freezing serum before density-based lipoprotein fractionation affect HDL free cholesterol? serum storage stability; freeze-thaw effect; lipoprotein density gradient; ultracentrifugation; free cholesterol assay,serum storage stability | freeze-thaw effect | lipoprotein density gradient | ultracentrifugation | free cholesterol assay,10,"1: Effects of sample handling and storage on quantitative lipid analysis in human serum | 2: HDL structure and function is profoundly affected when stored frozen in the absence of cryoprotectants [S] | 3: Oxidized LDL is stable in human serum under extended thawed-state conditions ranging from −20 °C to room temperature | 4: Time collection and storage conditions of lipid profile | 5: Simultaneous Isolation and Characterization of Lipoprotein Classes in Plasma, Including HDL Subclasses and the Uncharacterized Dense HDL | 6: Isolation of HDL by sequential flotation ultracentrifugation followed by size exclusion chromatography reveals size-based enrichment of HDL-associated proteins | 7: Effect of Delayed Centrifugation on the Levels of NMR-Measured Lipoproteins and Metabolites in Plasma and Serum Samples | 8: The effect of storage time and freeze-thaw cycles on the stability of serum samples | 9: Comparison of Lipid Measurements by Clinical Chemistry and NMR Spectroscopy | 10: Review of Laboratory Methods to Determine HDL and LDL Subclasses and Their Clinical Importance",1: PMC2794342; doi:10.1007/s11306-009-0174-2 | 2: PMC5665661; doi:10.1194/jlr.D075366 | 3: PMC9791165; doi:10.1016/j.jmsacl.2022.12.001 | 4: PMC5769759; doi:10.1590/1414-431X20176955 | 5: bio_7039ef137c54; doi:10.1101/2025.09.29.679308 | 6: PMC8352908; doi:10.1038/s41598-021-95451-3 | 7: PMC9753045; doi:10.1021/acs.analchem.2c02167 | 8: PMC3900085; doi:10.11613/BM.2013.009 | 9: PMC12785627; doi:10.3390/diagnostics16010028 | 10: PMC11273998; doi:10.31083/j.rcm2304147,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid:PMC2794342,1,1,1,1,1,1.0,Effects of sample handling and storage on quantitative lipid analysis in human serum,pmcid,PMC2794342,s_b4a0574d
Q007,Pre-centrifugation delay and transport,How long can blood be kept on ice before snap-freezing if I want to analyze both the proteome and metabolome?,success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How long can blood be kept on ice before snap-freezing if I want to analyze both the proteome and metabolome? preanalytical delay; on-ice storage; proteomic stability; metabolomic stability; blood sample preservation,preanalytical delay | on-ice storage | proteomic stability | metabolomic stability | blood sample preservation,10,1: Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis | 2: An Overview of Pre-Analytical Factors Impacting Metabolomics Analyses of Blood Samples | 3: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 4: Effects of pre-analytical processes on blood samples used in metabolomics studies | 5: Global Stability of Plasma Proteomes for Mass Spectrometry-Based Analyses * | 6: Isolated Effects of Plasma Freezing versus Thawing on Metabolite Stability | 7: Metabolic and lipidomic stability in EDTA plasma from hospitalized patients: impact of refrigerated storage time and additional freeze—thaw cycle | 8: Pre-Analytical Sample Quality: Metabolite Ratios as an Intrinsic Marker for Prolonged Room Temperature Exposure of Serum Samples | 9: Recommendations and Best Practices for Standardizing the Pre-Analytical Processing of Blood and Urine Samples in Metabolomics | 10: Impact of Prolonged Blood Incubation and Extended Serum Storage at Room Temperature on the Human Serum Metabolome,1: PMC9808085; doi:10.3389/fmolb.2022.961448 | 2: PMC11433674; doi:10.3390/metabo14090474 | 3: PMC5187835; doi:10.3390/ijms17122035 | 4: PMC4471316; doi:10.1007/s00216-015-8565-x | 5: PMC3433892; doi:10.1074/mcp.M111.014340 | 6: PMC9693613; doi:10.3390/metabo12111098 | 7: PMC13106266; doi:10.1007/s11306-026-02428-2 | 8: PMC4379062; doi:10.1371/journal.pone.0121495 | 9: PMC7344701; doi:10.3390/metabo10060229 | 10: PMC5875996; doi:10.3390/metabo8010006,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid:PMC9808085,1,1,1,1,1,1.0,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid,PMC9808085,s_39a0f48c
Q008,"Specimen, tube, and processing effects",Does changing the centrifugation conditions significantly affect the measured plasma metabolome or proteome?,success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,Does changing the centrifugation conditions significantly affect the measured plasma metabolome or proteome? plasma preanalytical variables; centrifugation parameters; plasma proteomics; plasma metabolomics; spin conditions,plasma preanalytical variables | centrifugation parameters | plasma proteomics | plasma metabolomics | spin conditions,10,1: Does centrifugation matter? Centrifugal force and spinning time alter the plasma metabolome | 2: Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis | 3: An Overview of Pre-Analytical Factors Impacting Metabolomics Analyses of Blood Samples | 4: Effect of Delayed Centrifugation on the Levels of NMR-Measured Lipoproteins and Metabolites in Plasma and Serum Samples | 5: Effects of pre-analytical processes on blood samples used in metabolomics studies | 6: A Systematic Evaluation of Blood Serum and Plasma Pre-Analytics for Metabolomics Cohort Studies | 7: Recommendations and Best Practices for Standardizing the Pre-Analytical Processing of Blood and Urine Samples in Metabolomics | 8: Impact of Blood Collection Tubes and Sample Handling Time on Serum and Plasma Metabolome and Lipidome | 9: Variable blood processing procedures contribute to plasma proteomic variability | 10: Variability of human fasted venous plasma metabolomic profiles with tourniquet induced hemostasis,1: PMC5025507; doi:10.1007/s11306-016-1109-3 | 2: PMC9808085; doi:10.3389/fmolb.2022.961448 | 3: PMC11433674; doi:10.3390/metabo14090474 | 4: PMC9753045; doi:10.1021/acs.analchem.2c02167 | 5: PMC4471316; doi:10.1007/s00216-015-8565-x | 6: PMC5187835; doi:10.3390/ijms17122035 | 7: PMC7344701; doi:10.3390/metabo10060229 | 8: PMC6316012; doi:10.3390/metabo8040088 | 9: PMC7816468; doi:10.1186/s12014-021-09311-3 | 10: PMC8712516; doi:10.1038/s41598-021-03665-2,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid:PMC9808085,2,0,1,1,1,0.5,Pre-analytical processing of plasma and serum samples for combined proteome and metabolome analysis,pmcid,PMC9808085,s_f602fbc5
Q009,Pre-centrifugation delay and transport,How sensitive are plasma and serum cytokine measurements to short delays in blood processing?,success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How sensitive are plasma and serum cytokine measurements to short delays in blood processing? plasma cytokine stability; serum cytokine stability; delayed centrifugation; preanalytical delay; cytokine degradation,plasma cytokine stability | serum cytokine stability | delayed centrifugation | preanalytical delay | cytokine degradation,10,1: Effects of blood sample handling procedures on measurable interleukin 6 in plasma and serum | 2: The holding temperature of blood during a delay to processing can affect serum and plasma protein measurements | 3: Multiplex Cytokine Concentration Measurement: How Much Do the Medium and Handling Matter? | 4: Pre-analytical sample handling effects on blood cytokine levels: quality control of a COVID-19 biobank | 5: Effects of processing conditions on stability of immune analytes in human blood | 6: Impact of Delayed Centrifugation on Interleukin 6 Determination in Human Blood | 7: Impact of short-term storage of plasma samples on quantitation of ultra-low levels of interleukin-6 | 8: Prerequisites for cytokine measurements in clinical trials with multiplex immunoassays | 9: Baseline Levels and Temporal Stability of 27 Multiplexed Serum Cytokine Concentrations in Healthy Subjects | 10: Comparison of Bead-Based Fluorescence Versus Planar Electrochemiluminescence Multiplex Immunoassays for Measuring Cytokines in Human Plasma,1: PMC6757116; doi:10.1002/jcla.22924 | 2: PMC7985364; doi:10.1038/s41598-021-85052-5 | 3: PMC3804442; doi:10.1155/2013/890706 | 4: PMC8359910; doi:10.2217/bmm-2020-0770 | 5: PMC7566484; doi:10.1038/s41598-020-74274-8 | 6: PMC12109806; doi:10.3390/diagnostics15101187 | 7: PMC8593303; doi:10.1177/03000605211056846 | 8: PMC2761376; doi:10.1186/1471-2172-10-52 | 9: PMC3861126; doi:10.1371/journal.pone.0076091 | 10: PMC7546899; doi:10.3389/fimmu.2020.572634,Effects of processing conditions on stability of immune analytes in human blood,pmcid:PMC7566484,5,0,0,1,1,0.2,Effects of processing conditions on stability of immune analytes in human blood,pmcid,PMC7566484,s_77bcfe37
Q010,Biospecimen quality control and SOPs,How quickly should blood be processed for flow or mass cytometry when measuring sensitive cell populations?,success,,llmexpand,qwen3.6:35b-a3b-bf16,openai,https://inference.kbs.uni-hannover.de/v1,vector,"pmc,biorxiv,medrxiv,arxiv,abstracts_only",1,10,How quickly should blood be processed for flow or mass cytometry when measuring sensitive cell populations? single-cell mass cytometry; cytometry by time of flight; sample processing time; cell viability; preanalytical delay,single-cell mass cytometry | cytometry by time of flight | sample processing time | cell viability | preanalytical delay,10,"1: Impact on in-depth immunophenotyping of delay to peripheral blood processing | 2: Effects of processing conditions on stability of immune analytes in human blood | 3: Viability-Compatible Preservation for Mass Cytometry Using Cisplatin Pulse Quenching and Gradual Formaldehyde Release | 4: Effects of storage time and temperature on highly multiparametric flow analysis of peripheral blood samples; implications for clinical trial samples | 5: Multimodal analysis for human ex vivo studies shows extensive molecular changes from delays in blood processing | 6: High-Throughput Mass Cytometry Staining for Immunophenotyping Clinical Samples | 7: Mass Cytometry Workflow to Achieve High‐Dimensional Immunophenotyping in Resource‐Limited or Decentralized Environments | 8: Functional analysis of human circulating immune cells based on high-dimensional mass cytometry | 9: Simplified mass cytometry protocol for in-plate staining, barcoding, and cryopreservation of human PBMC samples in clinical trials | 10: Protocol for large scale whole blood immune monitoring by mass cytometry and Cyto Quality Pipeline",1: PMC11239563; doi:10.1093/cei/uxae041 | 2: PMC7566484; doi:10.1038/s41598-020-74274-8 | 3: med_e77facf675df; doi:10.1101/2025.08.08.25333023 | 4: PMC7921292; doi:10.1042/BSR20203827 | 5: PMC8169801; doi:10.1016/j.isci.2021.102404 | 6: PMC7580234; doi:10.1016/j.xpro.2020.100055 | 7: PMC12949427; doi:10.1002/cpz1.70335 | 8: PMC9010797; doi:10.1016/j.xpro.2022.101310 | 9: PMC9092992; doi:10.1016/j.xpro.2022.101362 | 10: PMC9637821; doi:10.1016/j.xpro.2022.101697,Effects of processing conditions on stability of immune analytes in human blood,pmcid:PMC7566484,2,0,1,1,1,0.5,Effects of processing conditions on stability of immune analytes in human blood,pmcid,PMC7566484,s_8412dd5b
