question_id,question,ranking_method,rank,score,title,evidence_text,year,journal,doi,source,ext_id,url,score_components_json
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,1,11.2,Assessing the Preanalytical Variability of Plasma and Cerebrospinal Fluid Processing and Its Effects on Inflammation-Related Protein Biomarkers.,"The purpose of this study was to examine the effects of delayed centrifuging on measured protein levels in plasma and cerebrospinal fluid (CSF). Blood from healthy individuals and patients with multiple sclerosis along with CSF from patients with suspected neurological disorders were left at room temperature for different periods (blood: 1, 24, 48, 72 h; CSF: 1 and 6 h) prior to centrifuging.",2021,,10.1016/j.mcpro.2021.100157,MED,34597789,https://pmc.ncbi.nlm.nih.gov/articles/PMC8554621/,"{""ranker"": ""lexical"", ""lexical_raw"": 11.2, ""final_score"": 11.2}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,2,10.7,Assessing the Preanalytical Variability of Plasma and Cerebrospinal Fluid Processing and Its Effects on Inflammation-Related Protein Biomarkers.,"In summary, many proteins, particularly in plasma, had increased levels with longer delays in processing likely due in part to intracellular leakage. Levels of caspase 8, interleukin 8, interleukin 18, sirtuin 2, and sulfotransferase 1A1 increased 2-fold to 10-fold in plasma after 24 h at room temperature.",2021,,10.1016/j.mcpro.2021.100157,MED,34597789,https://pmc.ncbi.nlm.nih.gov/articles/PMC8554621/,"{""ranker"": ""lexical"", ""lexical_raw"": 10.7, ""final_score"": 10.7}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,3,10.7,Assessing the Preanalytical Variability of Plasma and Cerebrospinal Fluid Processing and Its Effects on Inflammation-Related Protein Biomarkers.,"Levels of caspase 8, interleukin 8, interleukin 18, sirtuin 2, and sulfotransferase 1A1 increased 2-fold to 10-fold in plasma after 24 h at room temperature. Similarly, levels of cathepsin H, ectonucleoside triphosphate diphosphohydrolase 5, and WW domain containing E3 ubiquitin protein ligase 2 differentiated in CSF with <6 h delay in processing.",2021,,10.1016/j.mcpro.2021.100157,MED,34597789,https://pmc.ncbi.nlm.nih.gov/articles/PMC8554621/,"{""ranker"": ""lexical"", ""lexical_raw"": 10.7, ""final_score"": 10.7}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,4,9.25,"Two Methods for Evaluating the Effect of pre-Analytical Handling Procedures on Interleukin 6, Interleukin 8, and Tumor Necrosis Factor α.","Furthermore, we used two detection methods to find plasma cytokines showing more stability than serum cytokines, when the samples were stored at 4°C. Additionally, IL-8 concentration was affected by the storage conditions of whole blood from the time of collection until further processing at room temperature.",2025,,10.7754/clin.lab.2024.240126,MED,39808132,https://pubmed.ncbi.nlm.nih.gov/39808132/,"{""ranker"": ""lexical"", ""lexical_raw"": 9.25, ""final_score"": 9.25}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,5,8.4,[&lt;sup&gt;68&lt;/sup&gt;Ga]Ga-interleukin-2 for imaging activated T-lymphocytes: biochemical characterization and phase I study in normal subjects.,"Lyophilized kit of THP-desIL2 remained stable at -80 °C up to 6 months maintaining high RCP and LY. Phase I study showed a rapid plasma clearance, renal metabolism, safety and favorable dosimetry.<h4>Conclusions</h4>We developed an efficient lyophilized kit of THP-desIL2 for <sup>68</sup>Ga-labelling at room temperature in GMP conditions, obtaining excellent in vitro and in vivo results.",2025,,10.1007/s00259-025-07430-9,MED,40590904,https://pmc.ncbi.nlm.nih.gov/articles/PMC12660392/,"{""ranker"": ""lexical"", ""lexical_raw"": 8.4, ""final_score"": 8.4}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,6,8.0,Effects of Temperature and Time on the Denaturation of Transforming Growth Factor Beta-1 and Cytokines from Bovine Platelet-Rich Gel Supernatants.,"IL-6 concentrations were significantly (<i>p</i> < 0.05) higher in PRGS stored at -20, and -80 over the first 48 h and at 10 days when compared to PRGS stored at 4, 21, and 37 °C. These results could suggest that P-PRP/P-PRGS could be maintained and well preserved for at least 12 days at room temperature for clinical use in bovine therapeutic massive protocols.",2024,,10.3390/gels10090583,MED,39330185,https://pmc.ncbi.nlm.nih.gov/articles/PMC11431824/,"{""ranker"": ""lexical"", ""lexical_raw"": 8.0, ""final_score"": 8.0}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,7,7.8,[&lt;sup&gt;68&lt;/sup&gt;Ga]Ga-interleukin-2 for imaging activated T-lymphocytes: biochemical characterization and phase I study in normal subjects.,"Phase I study showed a rapid plasma clearance, renal metabolism, safety and favorable dosimetry.<h4>Conclusions</h4>We developed an efficient lyophilized kit of THP-desIL2 for <sup>68</sup>Ga-labelling at room temperature in GMP conditions, obtaining excellent in vitro and in vivo results. [<sup>68</sup>Ga]Ga-THP-desIL2 PET/CT studies in humans showed favorable dosimetry and safety, thus highlighting its potential for a wide range of clinical applications, particularly in immune-mediated diseases and cancer.",2025,,10.1007/s00259-025-07430-9,MED,40590904,https://pmc.ncbi.nlm.nih.gov/articles/PMC12660392/,"{""ranker"": ""lexical"", ""lexical_raw"": 7.8, ""final_score"": 7.8}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,8,7.65,Assessing the Preanalytical Variability of Plasma and Cerebrospinal Fluid Processing and Its Effects on Inflammation-Related Protein Biomarkers.,"Blood from healthy individuals and patients with multiple sclerosis along with CSF from patients with suspected neurological disorders were left at room temperature for different periods (blood: 1, 24, 48, 72 h; CSF: 1 and 6 h) prior to centrifuging. Ninety-one inflammation-related proteins were analyzed using a proximity extension assay, a high-sensitivity multiplex immunoassay.",2021,,10.1016/j.mcpro.2021.100157,MED,34597789,https://pmc.ncbi.nlm.nih.gov/articles/PMC8554621/,"{""ranker"": ""lexical"", ""lexical_raw"": 7.65, ""final_score"": 7.65}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,9,7.6,"Two Methods for Evaluating the Effect of pre-Analytical Handling Procedures on Interleukin 6, Interleukin 8, and Tumor Necrosis Factor α.","Additionally, IL-8 concentration was affected by the storage conditions of whole blood from the time of collection until further processing at room temperature. We also found heparin tubes showed higher levels of IL-6 and TNF-α than other tubes at room temperature.<h4>Conclusions</h4>In general, the best values for IL-6, IL-8, and TNF-α were found in EDTA samples, stored at 4°C, and centrifuged quickly within 2 hours.",2025,,10.7754/clin.lab.2024.240126,MED,39808132,https://pubmed.ncbi.nlm.nih.gov/39808132/,"{""ranker"": ""lexical"", ""lexical_raw"": 7.6, ""final_score"": 7.6}"
Q001,Is interleukin-6 stable in plasma at room temperature?,lexical,10,7.5,Effects of Temperature and Time on the Denaturation of Transforming Growth Factor Beta-1 and Cytokines from Bovine Platelet-Rich Gel Supernatants.,"There is a lack of information about transforming growth factor beta-1 (TGF-β<sub>1</sub>) and cytokines contained in pure platelet-rich plasma (P-PRP) and release from pure-platelet-rich gel supernatants (P-PRGS) might be affected by the temperature and time factors; P-PRP from 6 heifers was activated with calcium gluconate. Thereafter, P-PRG and their supernatants (P-PRGS) were maintained at -80, -20, 4, 21, and 37 °C and collected at 3, 6, 12, 24, 48, 96, 144, 192, 240, and 280 h for subsequent determination of TGF-β<sub>1</sub>, tumor necrosis factor alfa (TNF-α), interleukin (IL)-2, and IL-6; TGF-β<sub>1</sub> concentrations were significantly (<i>p</i> < 0.05) higher in PRGS maintained at 21 and 37 °C when compared to PRGS maintained at 4, -20, and -80 °C; PRGS TNF-α concentrations were not influenced by temperature and time factors.",2024,,10.3390/gels10090583,MED,39330185,https://pmc.ncbi.nlm.nih.gov/articles/PMC11431824/,"{""ranker"": ""lexical"", ""lexical_raw"": 7.5, ""final_score"": 7.5}"
