run_label,run_dir,question_id,question,k,ROUGE1_Nugget@k,ROUGEL_Nugget@k,ROUGE_Nugget@k,BM25_Nugget@k,nugget_count,retrieved_snippet_count,embedding_model,SemanticNuggetMatch@k,SemanticAnswerMatch@k,answer_best_rank
lexical,outputs\evaluation\provideq20_lexical,BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ001,Is potassium stable in serum gel tubes if centrifugation is delayed for up to 24 hours at 15 to 35 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ002,Is glucose stable in serum gel tubes when centrifugation is delayed under variable storage temperatures?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ003,Is phosphate stable in serum gel tubes during delayed centrifugation at 15 to 35 degrees Celsius?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,1,0.0795,0.0689,0.0742,0.1668,4,1,sentence-transformers/all-MiniLM-L6-v2,0.3015,0.6752,1
lexical,outputs\evaluation\provideq20_lexical,BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,3,0.1072,0.0862,0.0967,0.1986,4,3,sentence-transformers/all-MiniLM-L6-v2,0.3164,0.6752,1
lexical,outputs\evaluation\provideq20_lexical,BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,5,0.112,0.091,0.1015,0.1742,4,5,sentence-transformers/all-MiniLM-L6-v2,0.3166,0.6752,1
lexical,outputs\evaluation\provideq20_lexical,BQ004,Is albumin stable in serum gel tubes stored before centrifugation for up to 24 hours?,10,0.1286,0.0987,0.1137,0.2555,4,9,sentence-transformers/all-MiniLM-L6-v2,0.3904,0.6752,1
lexical,outputs\evaluation\provideq20_lexical,BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ005,Is C-reactive protein stable in serum gel tubes exposed to delayed centrifugation and variable temperatures?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,3,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,5,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ006,Is vitamin D stable in serum gel tubes before centrifugation under field-like temperature delays?,10,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
lexical,outputs\evaluation\provideq20_lexical,BQ007,Can short-term processing delays up to 15 hours affect serum and plasma cytokine measurements?,1,0.0,0.0,0.0,0.0,4,0,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,
